Longitude,Latitude,hour,month,weekday,park
-122.321046108,47.59834527,9,7,2,112
-122.265535618,47.54112826,10,7,2,33
-122.330349056,47.617889223,11,7,2,112
-122.403988428,47.580636283,11,7,2,31
-122.324734164,47.58822601,12,7,2,93
-122.339458563,47.609053053,12,7,2,99
-122.33326678,47.582939291,9,7,2,74
-122.360924466,47.640506449,9,7,2,73
-122.384742591,47.669818636,11,7,2,63
-122.381865409,47.545705053,10,7,2,48
-122.325138554,47.655008917,10,7,2,100
-122.337238175,47.609981889,10,7,2,102
-122.342402604,47.612117499,11,7,2,92
-122.331124149,47.601717571,11,7,2,102
-122.358707527,47.619404939,11,7,2,69
-122.309516725,47.576072202,12,7,2,95
-122.290299186,47.676691474,12,7,2,50
-122.287208412,47.564751218,8,7,0,68
-122.331124149,47.601717571,14,7,2,102
-122.313148997,47.660532243,14,7,2,89
-122.406598666,47.580670502,16,7,2,29
-122.313148997,47.660532243,16,7,2,89
-122.299888346,47.591221064,15,7,2,108
-122.327680653,47.596655376,14,7,2,105
-122.32465212,47.604609019,12,7,2,114
-122.344143641,47.614320348,13,7,2,92
-122.303798071,47.643430289,13,7,2,112
-122.317413612,47.664027544,13,7,2,85
-122.286865,47.669415,20,1,3,54
-122.338146748,47.610975163,12,7,2,101
-122.347622706,47.6183435,15,7,2,94
-122.387274571,47.539406119,15,7,2,46
-122.356503697,47.553698126,15,7,2,26
-122.331572531,47.600475775,15,7,2,100
-122.29474868,47.543519791,16,7,2,52
-122.332233227,47.598288676,12,7,2,99
-122.360959323,47.54121914,13,7,2,30
-122.267451593,47.507022065,13,7,2,19
-122.318735534,47.678025863,13,7,2,75
-122.29911308,47.722015836,13,7,2,34
-122.299888346,47.591221064,13,7,2,108
-122.342821736,47.610018897,13,7,2,92
-122.327680653,47.596655376,14,7,2,105
-122.327680653,47.596655376,14,7,2,105
-122.32213936,47.615810125,14,7,2,121
-122.33815,47.610973,12,1,6,101
-122.263550269,47.676197107,12,7,2,15
-122.356889954,47.661490724,15,6,2,75
-122.283705775,47.578873414,18,7,1,80
-122.341762928,47.61349901,17,7,2,99
-122.295478453,47.72289977,17,7,2,31
-122.329075878,47.653695531,17,7,2,113
-122.386583566,47.580252743,17,7,2,43
-122.324615153,47.708602801,17,7,2,43
-122.332684306,47.649830035,17,7,2,117
-122.313148997,47.660532243,16,7,2,89
-122.334191719,47.597380191,16,7,2,94
-122.266992839,47.554099373,16,7,2,38
-122.34777183,47.731676965,10,7,2,14
-122.303098808,47.618795464,16,7,2,132
-122.301545931,47.707567307,19,7,2,44
-122.335928554,47.611904236,17,7,2,101
-122.327680653,47.596655376,19,7,2,105
-122.330431868,47.622547497,20,7,2,114
-122.355330171,47.69331765,20,7,2,47
-122.355330171,47.69331765,17,7,2,47
-122.338146748,47.610975163,18,7,2,101
-122.366804685,47.711246133,18,7,2,31
-122.313087957,47.663996256,19,7,2,86
-122.3314721,47.606195955,19,7,2,107
-122.340897759,47.610619314,19,7,2,100
-122.355330171,47.69331765,17,7,2,47
-122.29682759,47.57661601,20,7,2,99
-122.289357155,47.632523805,20,7,2,85
-122.331572531,47.600475775,18,7,2,100
-122.340128233,47.610623458,18,7,2,101
-122.303098808,47.618795464,18,7,2,132
-122.321592103,47.601701919,20,7,2,114
-122.338146748,47.610975163,17,7,2,101
-122.355330171,47.69331765,17,7,2,47
-122.384742591,47.669818636,19,7,2,63
-122.283705775,47.578873414,19,7,2,80
-122.323289825,47.70908766,20,7,2,44
-122.324615153,47.708602801,19,7,2,43
-122.313034216,47.667491533,19,7,2,83
-122.341542601,47.612782411,19,7,2,98
-122.355933801,47.554723706,20,7,2,26
-122.368875825,47.6439452,20,7,0,72
-122.347001982,47.660979279,14,7,0,92
-122.331124149,47.601717571,23,7,2,102
-122.359956748,47.551937623,23,7,2,30
-122.342879608,47.609812733,23,7,2,91
-122.393085724,47.539045963,23,7,2,44
-122.325000738,47.615221878,23,7,2,114
-122.344363969,47.615036752,23,7,2,93
-122.329221114,47.609604038,0,7,3,113
-122.335866562,47.600883019,23,7,2,95
-122.33718559,47.6052849,22,7,2,95
-122.320771373,47.613519515,22,7,2,122
-122.355330171,47.69331765,20,7,2,47
-122.344996835,47.725035552,20,7,2,19
-122.342182557,47.611400659,21,7,2,92
-122.316125603,47.606200257,21,7,2,123
-122.327031598,47.595836764,22,7,2,98
-122.344706419,47.705798569,22,7,2,36
-122.388507646,47.529519303,22,7,2,35
-122.357060472,47.731456615,22,7,2,15
-122.328488315,47.60201663,22,7,2,105
-122.322448523,47.601294481,23,7,2,112
-122.330984509,47.57981152,23,7,2,79
-122.343482362,47.612169596,22,7,2,90
-122.34586311,47.612990814,21,7,2,90
-122.327661525,47.600453703,22,7,2,106
-122.302063748,47.612941383,17,1,5,123
-122.286112977,47.539780196,23,7,2,45
-122.311999765,47.622084901,23,7,2,130
-122.342879608,47.609812733,21,7,2,91
-122.358303241,47.635349377,21,7,2,73
-122.299158732,47.579672245,21,7,2,102
-122.323107745,47.596671149,21,7,2,107
-122.329653769,47.600013668,0,7,3,102
-122.350992886,47.723222847,21,7,2,16
-122.332845839,47.602662498,1,7,3,101
-122.343500195,47.632858771,1,7,3,108
-122.337217582,47.605765025,1,7,3,96
-122.361804965,47.53369478,2,7,3,31
-122.333368028,47.617329291,2,7,3,111
-122.279249409,47.716421218,3,7,3,20
-122.378365064,47.538053734,3,7,3,40
